port,month,calls,import_mt,export_mt,volume_mt,calls_yoy,volume_yoy
Amurang,2019-01,5,361,13938,14299,,
Amurang,2019-02,2,0,25954,25954,,
Amurang,2019-03,1,0,1081,1081,,
Amurang,2019-04,4,3055,8734,11789,,
Amurang,2019-05,1,0,4750,4750,,
Amurang,2019-06,3,1020,2842,3862,,
Amurang,2019-07,3,361,6888,7249,,
Amurang,2019-08,1,6251,0,6251,,
Amurang,2019-09,1,361,142,503,,
Amurang,2019-10,2,361,3972,4333,,
Amurang,2019-11,3,361,7317,7678,,
Amurang,2019-12,2,431,10818,11249,,
Amurang,2020-01,2,0,4578,4578,-60.0,-67.98377508916708
Amurang,2020-02,2,4681,7861,12542,0.0,-51.67604222855822
Amurang,2020-03,1,298,2558,2856,0.0,164.19981498612395
Amurang,2020-04,2,0,11760,11760,-50.0,-0.245992026465347
Amurang,2020-05,2,361,23143,23504,100.0,394.82105263157894
Amurang,2020-06,1,0,1666,1666,-66.66666666666667,-56.861729673744165
Amurang,2020-07,1,0,5275,5275,-66.66666666666667,-27.231342254104018
Amurang,2020-08,1,0,4631,4631,0.0,-25.91585346344585
Amurang,2020-09,3,361,46412,46773,200.0,9198.807157057654
Amurang,2020-10,0,0,0,0,-100.0,-100.0
Amurang,2020-11,4,133,16541,16674,33.33333333333333,117.16592862724666
Amurang,2020-12,1,6294,0,6294,-50.0,-44.04835985420926
Amurang,2021-01,4,298,10644,10942,100.0,139.01266928789866
Amurang,2021-02,1,2873,0,2873,-50.0,-77.09296762876734
Amurang,2021-03,4,659,10337,10996,300.0,285.0140056022409
Amurang,2021-04,1,361,142,503,-50.0,-95.72278911564625
Amurang,2021-05,3,1183,19244,20427,50.0,-13.09138869979578
Amurang,2021-06,4,3015,20153,23168,300.0,1290.6362545018007
Amurang,2021-07,2,860,142,1002,100.0,-81.00473933649289
Amurang,2021-08,2,8625,2776,11401,100.0,146.18872813647158
Amurang,2021-09,3,361,34386,34747,0.0,-25.711414705064882
Amurang,2021-10,4,494,8766,9260,inf,inf
Amurang,2021-11,6,8381,32431,40812,50.0,144.7643037063692
Amurang,2021-12,1,0,6864,6864,0.0,9.056244041944716
Amurang,2022-01,1,0,121,121,-75.0,-98.8941692560775
Amurang,2022-02,3,361,5143,5504,200.0,91.5767490428124
Amurang,2022-03,2,361,2110,2471,-50.0,-77.52819206984358
Amurang,2022-04,5,361,15455,15816,400.0,3044.333996023857
Amurang,2022-05,6,361,4910,5271,100.0,-74.19591716845352
Amurang,2022-06,5,133,11005,11138,25.0,-51.925069060773474
Amurang,2022-07,2,0,3278,3278,0.0,227.14570858283435
Amurang,2022-08,8,1868,9074,10942,300.0,-4.025962634856595
Amurang,2022-09,4,792,11687,12479,33.33333333333333,-64.08610815322187
Amurang,2022-10,2,121,36190,36311,-50.0,292.1274298056156
Amurang,2022-11,1,0,2855,2855,-83.33333333333334,-93.00450847789867
Amurang,2022-12,4,722,10622,11344,300.0,65.26806526806527
Amurang,2023-01,1,0,0,0,0.0,-100.0
Amurang,2023-02,5,298,26736,27034,66.66666666666667,391.17005813953483
Amurang,2023-03,3,722,1405,2127,50.0,-13.92148927559692
Amurang,2023-04,3,361,8164,8525,-40.0,-46.09888720283257
Amurang,2023-05,2,0,10406,10406,-66.66666666666667,97.41984443179663
Amurang,2023-06,5,1153,14646,15799,0.0,41.847728497037174
Amurang,2023-07,4,652,3421,4073,100.0,24.25259304453935
Amurang,2023-08,3,298,11164,11462,-62.5,4.752330469749588
Amurang,2023-09,4,0,8023,8023,0.0,-35.707989422229346
Amurang,2023-10,2,133,8260,8393,0.0,-76.88579218418661
Amurang,2023-11,5,361,7157,7518,400.0,163.32749562171628
