month,calls,import_mt,export_mt,volume_mt,n_ports,calls_yoy,volume_yoy
2019-01,2890,9384250,13605547,22989797,71,,
2019-02,2881,9183596,14318013,23501609,71,,
2019-03,3036,9316950,13815633,23132583,71,,
2019-04,3058,8859094,13789274,22648368,71,,
2019-05,3108,8976055,14095939,23071994,71,,
2019-06,2455,7895227,11240268,19135495,71,,
2019-07,3088,9221546,13728126,22949672,71,,
2019-08,3133,8819423,15859525,24678948,71,,
2019-09,3146,9446650,14706098,24152748,71,,
2019-10,3285,9064678,15723521,24788199,71,,
2019-11,3236,9627962,15100059,24728021,71,,
2019-12,3452,9407891,15932767,25340658,71,,
2020-01,3314,9058785,14873445,23932230,71,14.671280276816612,4.099353291375296
2020-02,3230,8669973,14894680,23564653,71,12.113849357861861,0.2682539735896272
2020-03,3445,9134570,14849331,23983901,71,13.471673254281956,3.680168358198488
2020-04,3255,10294512,14574850,24869362,71,6.4421190320471,9.806419606039608
2020-05,2994,8088439,14076202,22164641,71,-3.6679536679536717,-3.932702999142601
2020-06,3088,7417239,12959574,20376813,71,25.784114052953157,6.486991844214107
2020-07,3162,7953414,13902768,21856182,71,2.396373056994827,-4.7647304066045
2020-08,3274,8679917,14019500,22699417,71,4.500478774337702,-8.02113201907958
2020-09,3191,8083555,12264168,20347723,71,1.4303877940241572,-15.754004471872108
2020-10,3230,8968807,14083896,23052703,71,-1.6742770167427756,-7.001299287616658
2020-11,3067,8703858,12924861,21628719,71,-5.222496909765139,-12.533562633257223
2020-12,3227,10018467,14991546,25010013,71,-6.517960602549245,-1.3048003725870116
2021-01,3235,9180515,14738856,23919371,73,-2.3838261919130965,-0.0537308892652244
2021-02,2989,8391761,11795750,20187511,73,-7.461300309597519,-14.331388626855656
2021-03,3378,9145186,13806774,22951960,73,-1.9448476052249641,-4.302640341952713
2021-04,3319,10277177,13762805,24039982,73,1.9662058371735736,-3.3349468313662367
2021-05,3093,9204919,13358947,22563866,73,3.3066132264529147,1.8011796356187215
2021-06,3199,8755244,14365069,23120313,73,3.5945595854922185,13.46383264154214
2021-07,3226,9316393,13824268,23140661,73,2.024035420619863,5.876959662945702
2021-08,3439,9403255,15244461,24647716,73,5.039706780696407,8.583035414521877
2021-09,3221,8358263,13876704,22234967,73,0.9401441554371726,9.274964083204784
2021-10,3164,9193213,13213810,22407023,73,-2.043343653250773,-2.8008862995371975
2021-11,3663,10015155,16615671,26630826,73,19.432670361917182,23.127153300202387
2021-12,3974,11139498,16969077,28108575,73,23.148435079020757,12.389285843234067
2022-01,3651,12151573,13220529,25372102,73,12.859350850077277,6.073449841135026
2022-02,3373,9613748,15244829,24858577,73,12.847106055536962,23.138394822422637
2022-03,3806,11542661,17196282,28738943,72,12.670219064535226,25.21345889414237
2022-04,3694,11187580,15791826,26979406,72,11.298583910816507,12.22723045300118
2022-05,3259,10547067,14256765,24803832,72,5.366957646298087,9.927226123395695
2022-06,3592,10630890,15733540,26364430,72,12.28508909034074,14.031457965123572
2022-07,3864,11717214,18788247,30505461,72,19.776813391196523,31.82623002860636
2022-08,3996,12243035,19840502,32083537,72,16.19656876999127,30.16839775336586
2022-09,4024,10102046,20236357,30338403,72,24.930145917416958,36.444560497886044
2022-10,4218,12142985,18380318,30523303,72,33.31226295828065,36.22203627853642
2022-11,3976,11053640,19408514,30462154,72,8.544908544908548,14.386816240697907
2022-12,4057,11856391,17086938,28943329,72,2.088575742325105,2.9697485553785707
2023-01,4007,11994081,15820779,27814860,72,9.75075321829635,9.627732065715321
2023-02,3689,10695710,16067516,26763226,72,9.368514675363171,7.661938975831162
2023-03,4164,12100585,17816905,29917490,72,9.406200735680503,4.100871072398182
2023-04,3563,11538804,16151749,27690553,72,-3.5462912831618842,2.6358882771547965
2023-05,3930,10291901,16930584,27222485,71,20.589137772322808,9.751126358217554
2023-06,3995,11098709,17241029,28339738,71,11.219376391982184,7.49232204147785
