port,total_calls,total_volume_mt,months,calls,volume_mt,calls_yoy,volume_yoy,prev_calls,prev_volume,last_month,calls_mom,volume_mom
Tanjung Priok,71916,288635126,92,732.0,3184543.0,-16.055045871559635,-6.337989851286907,818.0,3532027.0,2026-08,-10.513447432762835,-9.838090139175037
Bunati,6085,254530911,92,89.0,3839901.0,-22.608695652173914,-30.44496805276755,92.0,3691433.0,2026-08,-3.2608695652173947,4.021961119164286
Dumai,19752,193301262,92,220.0,1929450.0,3.7735849056603765,2.168495809897597,257.0,2381881.0,2026-08,-14.396887159533078,-18.9946936895672
Tanjung Sangata,3059,187784558,92,37.0,2387191.0,-9.756097560975608,-12.820274037237777,41.0,2503373.0,2026-08,-9.756097560975608,-4.64101833805829
Indonesia Morowali Industrial Park,6678,166187684,92,88.0,2027049.0,8.64197530864197,-2.1624141890512427,104.0,3294539.0,2026-08,-15.384615384615385,-38.47245396093353
Gresik,37382,150224446,92,402.0,1478337.0,-10.864745011086473,-20.524814474733944,494.0,2111177.0,2026-08,-18.623481781376515,-29.97569602169785
Surabaya,46826,141230608,92,475.0,1508673.0,-11.710037174721188,-16.604498031572234,543.0,1755061.0,2026-08,-12.52302025782689,-14.0387143238896
Bontang LNG Terminal,7139,105702161,92,85.0,1074239.0,-19.047619047619047,-13.832778130266444,87.0,1284273.0,2026-08,-2.298850574712641,-16.354310960364348
Cilacap,6235,95991161,92,61.0,829025.0,-10.29411764705882,-27.016022537195173,55.0,1009462.0,2026-08,10.909090909090914,-17.874570810986445
Tuban,7693,93960313,92,105.0,1103311.0,54.41176470588236,46.5993359048529,95.0,966120.0,2026-08,10.526315789473696,14.200202873349067
Jetty Coalindo,2293,90646979,92,18.0,928859.0,-62.5,-47.67274558671757,24.0,1339641.0,2026-08,-25.0,-30.66358822998102
Indonesia - Offshore Oil Terminal 12,1074,60683138,92,10.0,545860.0,0.0,14.195219306870621,12.0,778426.0,2026-08,-16.666666666666664,-29.876442975954042
Belawan,10360,55093264,92,158.0,756043.0,-3.658536585365857,-20.586804924598525,169.0,817978.0,2026-08,-6.508875739644971,-7.57171953279917
Teluk Bayur,8902,54779653,92,104.0,520770.0,-16.129032258064512,-47.052920644958604,112.0,630534.0,2026-08,-7.14285714285714,-17.40810170426972
PLTU Nagan Raya,1514,52456787,92,18.0,609233.0,157.14285714285717,99.13284500707648,16.0,527297.0,2026-08,12.5,15.538870883012802
Wahana Jetty,1778,52388074,92,6.0,313658.0,-70.0,-12.012948760386221,4.0,234306.0,2026-08,50.0,33.86682372623835
Makassar,16407,45113910,92,195.0,467390.0,-12.556053811659195,-9.286053936553218,218.0,580169.0,2026-08,-10.550458715596333,-19.43899105260708
Indonesia - Offshore Oil Terminal 10,896,43078678,92,0.0,0.0,-100.0,-100.0,2.0,126556.0,2026-08,-100.0,-100.0
Merak Mas Terminal,6685,34818118,92,68.0,284421.0,-23.59550561797753,-59.412784599687484,88.0,370525.0,2026-08,-22.72727272727273,-23.238377977194524
Tanjung Geren,6821,33480160,92,68.0,356380.0,-28.421052631578945,-19.149891898881787,80.0,377512.0,2026-08,-15.000000000000002,-5.597702854478803
Banten,1627,25327676,14,,,,,,,2026-08,,
Bitung,6680,20979952,92,52.0,228656.0,-18.75,1.553124680781126,67.0,226180.0,2026-08,-22.388059701492537,1.0947033336280887
Futong,1850,20037988,92,42.0,541180.0,250.0,267.2004342515945,38.0,531008.0,2026-08,10.526315789473696,1.9156020248282557
Karimun,1167,19646477,92,1.0,4857.0,-90.0,-96.71560241004592,5.0,114946.0,2026-08,-80.0,-95.77453760896421
Donggi Senoro LNG Terminal,950,18373482,92,2.0,79198.0,-80.0,-31.08663116494379,8.0,350054.0,2026-08,-75.0,-77.37549063858718
Kuala Tanjung,1315,11782735,92,41.0,241914.0,156.25,44.6179413909779,41.0,255908.0,2026-08,0.0,-5.4683714459884065
Padang,2319,11518260,92,32.0,176062.0,60.00000000000001,96.27870680044592,37.0,218481.0,2026-08,-13.513513513513509,-19.415418274357954
Stagen,3148,10507180,92,60.0,258693.0,93.5483870967742,73.76874093180719,59.0,166808.0,2026-08,1.6949152542372836,55.084288523332205
Blanglancang,1224,9834147,92,61.0,422985.0,154.16666666666666,69.81279783531187,63.0,357488.0,2026-08,-3.1746031746031744,18.321454146712625
Manokwari Road,2756,9433669,92,38.0,132920.0,15.15151515151516,65.05855033590385,38.0,45080.0,2026-08,0.0,194.85359361135755
PLTU Semen Tonasa,1023,8135539,52,,,,,,,2026-08,,
Cirebon,2127,7387467,92,19.0,76512.0,-24.0,-31.525532943134838,22.0,108155.0,2026-08,-13.636363636363635,-29.257084739494243
Sungai Pakning,863,7199000,92,27.0,238056.0,68.75,151.06625324305512,26.0,112650.0,2026-08,3.8461538461538547,111.323568575233
Tanjung Benete,1378,6998844,92,17.0,85454.0,-19.047619047619047,117.63402521329427,16.0,96955.0,2026-08,6.25,-11.862204115311226
Indonesia - Offshore Oil Terminal 13,1076,6930080,92,12.0,82486.0,0.0,198.55943245982334,12.0,138842.0,2026-08,0.0,-40.59002319182956
Indonesia - Offshore Oil Terminal 15,200,6645200,92,2.0,68666.0,-50.0,-67.10421676934722,6.0,262302.0,2026-08,-66.66666666666667,-73.82177795060656
Indonesia - Offshore Oil Terminal 9,674,6603078,92,10.0,120192.0,-28.57142857142857,-29.63574414275176,12.0,126004.0,2026-08,-16.666666666666664,-4.6125519824767425
LNG Tangguh,372,6483523,28,,,,,9.0,102531.0,2026-08,,
Tual,3608,6273744,92,44.0,62950.0,15.789473684210531,49.973793300614666,50.0,59540.0,2026-08,-12.0,5.727242190124282
Benoa,2510,5834557,92,31.0,50414.0,-26.190476190476186,-49.068021781518034,42.0,94307.0,2026-08,-26.190476190476186,-46.54267445682717
Donggala,3480,5810976,92,40.0,64379.0,-29.824561403508774,-37.323299193893845,38.0,60391.0,2026-08,5.263157894736836,6.603632991670949
Jayapura,1777,5534093,92,16.0,71160.0,-11.111111111111116,55.069842445902076,18.0,70554.0,2026-08,-11.111111111111116,0.8589165745386484
Pulau Sambu,1014,4527961,92,4.0,808.0,-19.999999999999996,-19.999999999999996,4.0,808.0,2026-08,0.0,0.0
Tanah Merah,818,4134265,92,7.0,36736.0,-70.83333333333333,-71.07538226540478,9.0,47858.0,2026-08,-22.22222222222222,-23.23958376864892
Kendari,3552,4057231,91,,,,,13.0,14190.0,2026-08,,
Tg. Sorong,1943,3403961,92,21.0,31146.0,23.529411764705888,-17.023657289002557,19.0,28708.0,2026-08,10.526315789473696,8.49240629789605
Kijing,512,3127993,92,23.0,162808.0,76.92307692307692,104.86982345317043,22.0,169746.0,2026-08,4.545454545454541,-4.08728335277414
Ternate,2508,2910418,92,28.0,26338.0,-17.647058823529417,-20.472250739778975,34.0,55310.0,2026-08,-17.647058823529417,-52.38112457060207
Lingkas,1492,2443546,92,18.0,17464.0,-18.181818181818176,-60.352342898656005,23.0,40627.0,2026-08,-21.739130434782606,-57.01380855096365
Indonesia - Offshore Oil Terminal 11,208,2138850,92,2.0,0.0,0.0,-100.0,6.0,49412.0,2026-08,-66.66666666666667,-100.0
Kumai,1960,2013818,92,42.0,33052.0,250.0,328.3566614826335,22.0,6802.0,2026-08,90.90909090909092,385.91590708615115
Maumere,1287,1961666,92,16.0,22390.0,166.66666666666666,8856.0,19.0,34266.0,2026-08,-15.789473684210531,-34.65826183388781
Kasim Terminal,435,1952588,92,6.0,7826.0,19.999999999999996,-64.758859818976,6.0,20839.0,2026-08,0.0,-62.44541484716157
Indonesia - Offshore Oil Terminal 5,546,1867494,92,8.0,0.0,33.33333333333333,-100.0,8.0,80196.0,2026-08,0.0,-100.0
Gorontalo,1537,1541079,92,7.0,9755.0,-50.0,-17.169058334040933,16.0,19115.0,2026-08,-56.25,-48.966780015694475
Biak,910,1532043,92,11.0,15399.0,-8.333333333333337,-4.5496807785284865,13.0,23563.0,2026-08,-15.384615384615385,-34.64754063574248
