month,calls_container,calls_dry_bulk,calls_general_cargo,calls_roro,calls_tanker,calls_cargo,mt_container,mt_dry_bulk,mt_general_cargo,mt_roro,mt_tanker,mt_cargo
2019-01,812,424,580,90,984,1906,3004726,11007371,930394,33573,8013398,14976245
2019-02,780,397,622,94,988,1893,2732342,11525689,1079226,41652,8122364,15379090
2019-03,917,437,655,100,927,2109,3361185,11603111,1056110,31714,7080098,16052326
2019-04,898,400,692,95,973,2085,3336616,10876524,1235304,34013,7165545,15482668
2019-05,890,398,665,113,1042,2066,3231054,10814180,1095674,38803,7891947,15179890
2019-06,666,321,462,72,934,1521,2602729,8760660,861046,27034,6883738,12251617
2019-07,880,433,574,108,1093,1995,3172315,11151665,1038172,46139,7541027,15408491
2019-08,859,481,619,102,1072,2061,3135725,12377887,1179038,36483,7949461,16729332
2019-09,869,493,631,104,1049,2097,3184571,12623412,1162443,31474,7150456,17002111
2019-10,893,478,627,117,1170,2115,3117510,12407966,1246026,47140,7969158,16818861
2019-11,915,457,629,90,1145,2091,3508283,11858077,1062260,46666,8252363,16475484
2019-12,942,480,699,91,1240,2212,3466605,12280274,1029331,37268,8526779,16813693
2020-01,965,439,677,98,1135,2179,3381488,11479529,1149283,37481,7884054,16047972
2020-02,895,432,699,89,1115,2115,2629860,12297390,1094601,40850,7501597,16062883
2020-03,946,461,830,97,1111,2334,3273388,11964864,1319846,33688,7391745,16591978
2020-04,928,452,714,57,1104,2151,3558594,12810385,1248891,20925,7230193,17638976
2020-05,816,417,650,48,1063,1931,2654181,12236221,1069738,11578,6192604,15971868
2020-06,904,402,734,66,982,2106,2797349,10947627,1177701,20813,5433019,14943648
2020-07,967,374,660,87,1074,2088,2989245,10142578,1125101,24394,7574516,14281484
2020-08,989,433,672,105,1075,2199,3185042,11887667,1071934,24451,6529963,16169276
2020-09,930,412,716,114,1019,2172,2931820,10341968,1112328,38382,5922847,14424684
2020-10,962,408,714,95,1051,2179,3222285,11374096,1104285,41977,7309672,15742844
2020-11,863,398,692,80,1034,2033,2906850,10456486,1044100,31550,7189354,14439191
2020-12,897,467,733,93,1037,2190,3106934,12953691,1200335,35633,7713032,17296804
2021-01,925,420,731,74,1085,2150,3096564,12384628,1180337,26583,7230896,16688300
2021-02,862,389,694,66,978,2011,2721769,10374393,1213903,29323,5847807,14339540
2021-03,983,408,828,73,1086,2292,3092332,11221666,1443383,32082,7162101,15789663
2021-04,980,418,749,65,1107,2212,3409030,11087943,1354568,31808,8156275,15883548
2021-05,884,383,684,49,1093,2000,3092503,11903082,1152383,25884,6389684,16174011
2021-06,947,406,739,73,1034,2165,3210944,11779480,1287448,42632,6799397,16320722
2021-07,934,453,708,63,1068,2158,3188575,12291072,1137757,40305,6482594,16657885
2021-08,949,453,739,72,1226,2213,3307198,11642949,1298267,40605,8358301,16289216
2021-09,855,463,735,69,1099,2122,2632536,11463144,1229808,36672,6872410,15362353
2021-10,844,468,708,51,1093,2071,2583333,11651331,1211853,29050,6931052,15475761
2021-11,960,451,862,70,1320,2343,2997343,12258871,1599755,27655,9746740,16883836
2021-12,1026,486,926,84,1452,2522,3443984,12941528,1574908,42153,10105520,18002802
2022-01,950,438,841,79,1343,2308,3111106,10906076,1449136,43393,9861972,15509933
2022-02,930,424,741,68,1210,2163,2808982,12178005,1453429,41251,8376516,16481862
2022-03,1033,491,866,76,1340,2466,3215173,14372556,1626087,39306,9485362,19253356
2022-04,965,441,851,78,1359,2335,3212500,13130374,1521982,38576,9075550,17903643
2022-05,858,397,755,53,1196,2063,3171703,12172903,1440778,29501,7988537,16815094
2022-06,976,437,860,84,1235,2357,3142012,12575986,1646429,49532,8950040,17414178
2022-07,1026,476,826,82,1454,2410,3337651,14802785,1565558,46250,10752763,19752474
2022-08,1069,488,848,82,1509,2487,3591033,14646757,1572430,34528,12238324,19845008
2022-09,1032,507,936,80,1469,2555,3223613,14486679,1715538,44750,10867349,19470819
2022-10,1114,448,966,96,1594,2624,3701999,12189988,1685608,56982,12888261,17634819
2022-11,1069,459,897,88,1463,2513,3404255,14360460,1593440,57311,11046239,19415694
2022-12,1094,467,935,92,1469,2588,3380282,12688458,1657684,73890,11142544,17800550
2023-01,1079,449,936,74,1469,2538,3542152,12035164,1683974,42508,10510596,17304024
2023-02,1023,426,833,70,1337,2352,2981845,11408388,1486714,39229,10846639,15916389
2023-03,1157,527,1032,79,1369,2795,3747672,15097374,1943324,52483,9076181,20841106
2023-04,935,427,798,69,1334,2229,3176192,13342114,1432474,46360,9693031,17997347
2023-05,1074,446,942,80,1388,2542,3632182,12871293,1698183,49053,8971341,18250945
2023-06,1079,474,949,77,1416,2579,3342651,13838798,1706935,37679,9413215,18926300
2023-07,1126,484,952,78,1549,2640,3726281,13639247,1795958,39295,10744100,19201007
2023-08,1108,517,995,86,1529,2706,3699366,14828856,1887859,45164,8554943,20461495
2023-09,1100,462,986,84,1488,2632,3643183,13481398,1790799,41203,8934943,18956811
2023-10,1124,509,1020,89,1554,2742,3675776,15731651,1897516,51553,9907352,21356759
2023-11,1086,498,995,93,1475,2672,3347786,15238758,1934361,36568,9314738,20557728
2023-12,1095,489,987,89,1473,2660,3561122,14921300,1969965,27233,10373370,20479861
2024-01,1120,445,976,104,1463,2645,3763445,13536763,1720724,28124,9824128,19049308
2024-02,1025,445,891,94,1300,2455,3362040,12458887,1576599,37353,9265547,17435100
2024-03,1081,516,1000,117,1489,2714,3207559,15159784,1814879,37651,11189298,20220116
2024-04,894,392,791,78,1428,2155,3004221,12708714,1522913,34579,10579437,17270619
2024-05,1124,459,1017,102,1494,2702,3756731,14284891,1845349,30347,10749075,19917570
2024-06,1054,424,935,102,1499,2515,3274579,11943537,1629915,44533,11463703,16892817
2024-07,1078,474,1019,112,1432,2683,3516718,13577782,1812501,35006,9752485,18942256
2024-08,1102,426,933,107,1371,2568,3493705,13773033,1628377,30345,9253936,18925670
2024-09,1021,473,913,101,1377,2508,3148161,15650504,1707074,43042,9776832,20548999
2024-10,1131,471,949,109,1508,2660,3452419,14593360,1873466,42452,10763554,19961952
2024-11,1108,522,883,118,1504,2631,3466827,17100341,1676110,50227,9783852,22293748
2024-12,1096,508,938,104,1507,2646,3596999,14964869,1915622,37438,9799915,20515182
2025-01,1107,522,883,108,1390,2620,3317103,17361352,1692862,44142,9796838,22415680
2025-02,1050,482,805,108,1322,2445,3034861,15645509,1614006,46242,9238941,20340844
2025-03,1056,479,832,107,1477,2474,3238352,13854735,1599577,43703,10262808,18736622
2025-04,1019,469,789,99,1329,2376,3375036,14364036,1584582,58378,10457872,19382242
2025-05,1163,479,851,113,1484,2606,3690510,14343518,1564756,38287,10395904,19637293
2025-06,1106,477,807,117,1492,2507,3494847,14459008,1545041,54474,10914525,19553610
2025-07,1160,495,895,128,1552,2678,3593712,16192846,1795806,67913,10576242,21650504
2025-08,1200,575,824,118,1535,2717,3756201,19369693,1649225,54325,10576944,24829699
2025-09,1122,504,875,117,1455,2618,3555893,16318730,1733784,47319,9890577,21655965
2025-10,1207,506,884,108,1460,2705,3848529,16564648,1723261,46309,10088499,22182998
2025-11,1106,523,805,115,1424,2549,3649280,16576138,1612569,54529,9255168,21892739
2025-12,1101,501,812,128,1399,2542,3809864,14907086,1662534,56304,9869378,20436010
2026-01,1053,472,762,108,1380,2395,3464367,14392202,1589781,40652,9158263,19487221
2026-02,917,429,700,122,1220,2168,3088855,13013137,1385934,50507,8033431,17538641
2026-03,965,408,703,95,1311,2171,3155711,11847084,1528423,39397,8517797,16570825
2026-04,1001,487,766,103,1272,2357,3562763,15044002,1630704,40794,8231994,20278492
2026-05,1055,557,862,112,1446,2586,3520871,17416878,1659772,32764,9582725,22630546
2026-06,1055,563,845,105,1426,2568,3646953,16996177,1519418,39232,9726195,22202002
2026-07,1077,540,965,97,1518,2679,3645507,16709959,1719780,42797,10452088,22118288
2026-08,970,500,828,95,1339,2393,3208919,14451669,1521927,43238,8581998,19225993
