quarter,elec,mfg
2018Q1,54.16,61.6
2018Q2,54.16,62.89
2018Q3,55.88,63.74
2018Q4,56.74,63.7
2019Q1,55.86,63.92
2019Q2,56.99,64.53
2019Q3,58.59,65.91
2019Q4,59.12,66.58
2020Q1,60.09,67.09
2020Q2,60.39,67.07
2020Q3,62.28,68.19
2020Q4,63.05,68.76
2021Q1,63.45,69.46
2021Q2,64.99,70.48
2021Q3,65.43,70.77
2021Q4,65.44,71.69
2022Q1,67.14,72.01
2022Q2,67.15,72.82
2022Q3,69.32,73.7
2022Q4,69.6,73.15
2023Q1,70.45,74.52
2023Q2,71.04,75.13
2023Q3,73.38,75.73
2023Q4,73.35,76.66
2024Q1,74.14,78.48
2024Q2,75.2,77.73
2024Q3,76.88,79.62
2024Q4,77.79,78.68
2025Q1,78.88,80.28
2025Q2,77.45,81.36
2025Q3,78.81,82.4
2025Q4,79.35,83.25
2026Q1,79.27,84.08
