date,liburan,restoran,beli hp
2021-09-05,14,40,7
2021-09-12,15,41,6
2021-09-19,16,43,6
2021-09-26,17,49,6
2021-10-03,17,55,7
2021-10-10,19,50,7
2021-10-17,18,58,7
2021-10-24,17,49,6
2021-10-31,17,58,6
2021-11-07,16,52,6
2021-11-14,18,52,7
2021-11-21,17,54,6
2021-11-28,20,58,7
2021-12-05,20,58,6
2021-12-12,21,58,7
2021-12-19,26,73,8
2021-12-26,30,74,8
2022-01-02,48,64,8
2022-01-09,42,57,7
2022-01-16,26,53,6
2022-01-23,25,54,6
2022-01-30,20,52,7
2022-02-06,18,44,7
2022-02-13,18,50,6
2022-02-20,20,53,7
2022-02-27,19,58,7
2022-03-06,20,57,7
2022-03-13,20,56,7
2022-03-20,19,59,7
2022-03-27,17,61,7
2022-04-03,15,70,7
2022-04-10,15,88,8
2022-04-17,17,87,7
2022-04-24,19,79,8
2022-05-01,33,100,9
2022-05-08,36,63,8
2022-05-15,26,61,8
2022-05-22,23,60,7
2022-05-29,21,60,8
2022-06-05,20,61,7
2022-06-12,20,58,7
2022-06-19,20,56,8
2022-06-26,21,63,8
2022-07-03,18,60,7
2022-07-10,22,56,7
2022-07-17,27,55,7
2022-07-24,22,53,6
2022-07-31,18,51,6
2022-08-07,15,51,6
2022-08-14,13,52,6
2022-08-21,15,53,6
2022-08-28,16,52,6
2022-09-04,17,53,6
2022-09-11,16,52,6
2022-09-18,16,53,6
2022-09-25,18,53,6
2022-10-02,17,53,6
2022-10-09,18,51,6
2022-10-16,17,50,6
2022-10-23,17,55,6
2022-10-30,17,53,6
2022-11-06,18,52,6
2022-11-13,19,55,6
2022-11-20,16,51,5
2022-11-27,16,50,6
2022-12-04,17,53,5
2022-12-11,21,56,6
2022-12-18,27,66,7
2022-12-25,32,73,7
2023-01-01,69,63,8
2023-01-08,58,58,6
2023-01-15,31,57,6
2023-01-22,23,65,7
2023-01-29,19,55,6
2023-02-05,18,56,7
2023-02-12,17,55,6
2023-02-19,16,52,7
2023-02-26,16,56,7
2023-03-05,15,54,7
2023-03-12,16,55,6
2023-03-19,13,60,6
2023-03-26,14,69,6
2023-04-02,14,81,6
2023-04-09,15,74,7
2023-04-16,16,65,6
2023-04-23,28,78,8
2023-04-30,30,56,8
2023-05-07,23,52,7
2023-05-14,19,54,6
2023-05-21,18,55,6
2023-05-28,19,59,6
2023-06-04,20,55,7
2023-06-11,18,53,7
2023-06-18,20,54,6
2023-06-25,23,62,7
2023-07-02,18,59,7
2023-07-09,18,55,6
2023-07-16,25,53,6
2023-07-23,21,52,6
2023-07-30,16,49,6
2023-08-06,12,50,6
2023-08-13,11,51,5
2023-08-20,12,51,5
2023-08-27,14,53,5
2023-09-03,14,49,6
2023-09-10,14,51,6
2023-09-17,14,51,5
2023-09-24,14,54,6
2023-10-01,13,51,6
2023-10-08,14,52,6
2023-10-15,14,53,6
2023-10-22,14,50,6
2023-10-29,14,49,6
2023-11-05,14,49,6
2023-11-12,15,52,5
2023-11-19,15,50,5
2023-11-26,16,52,5
2023-12-03,19,54,5
2023-12-10,22,54,6
2023-12-17,30,60,6
2023-12-24,35,73,7
2023-12-31,61,61,6
2024-01-07,55,53,6
2024-01-14,25,51,6
2024-01-21,19,47,6
2024-01-28,16,51,6
2024-02-04,16,56,5
2024-02-11,12,42,5
2024-02-18,13,40,5
2024-02-25,13,43,6
2024-03-03,12,44,5
2024-03-10,10,53,5
2024-03-17,11,64,5
2024-03-24,19,71,6
2024-03-31,13,60,6
2024-04-07,18,70,7
2024-04-14,24,51,7
2024-04-21,21,44,6
2024-04-28,15,40,6
2024-05-05,16,53,6
2024-05-12,15,42,6
2024-05-19,15,45,5
2024-05-26,15,43,5
2024-06-02,14,42,6
2024-06-09,14,42,5
2024-06-16,15,45,5
2024-06-23,19,41,5
2024-06-30,18,45,5
2024-07-07,15,47,6
2024-07-14,19,41,5
2024-07-21,20,42,5
2024-07-28,16,43,5
2024-08-04,13,41,5
2024-08-11,10,42,4
2024-08-18,10,41,5
2024-08-25,12,42,5
2024-09-01,12,40,5
2024-09-08,14,42,5
2024-09-15,14,48,5
2024-09-22,13,42,5
2024-09-29,13,42,5
2024-10-06,13,44,5
2024-10-13,13,44,4
2024-10-20,12,44,5
2024-10-27,13,41,5
2024-11-03,13,42,5
2024-11-10,13,41,5
2024-11-17,16,43,5
2024-11-24,16,48,6
2024-12-01,20,50,6
2024-12-08,20,48,7
2024-12-15,27,47,6
2024-12-22,35,60,7
2024-12-29,35,56,7
2025-01-05,63,43,6
2025-01-12,32,41,6
2025-01-19,23,38,6
2025-01-26,21,51,6
2025-02-02,16,39,6
2025-02-09,15,42,5
2025-02-16,15,42,5
2025-02-23,13,43,5
2025-03-02,11,51,6
2025-03-09,12,60,6
2025-03-16,12,58,6
2025-03-23,14,48,6
2025-03-30,22,65,7
2025-04-06,29,42,7
2025-04-13,21,42,6
2025-04-20,16,41,6
2025-04-27,15,40,6
2025-05-04,16,39,5
2025-05-11,16,41,6
2025-05-18,14,39,6
2025-05-25,15,40,6
2025-06-01,16,35,6
2025-06-08,15,35,6
2025-06-15,17,38,6
2025-06-22,20,40,6
2025-06-29,19,42,6
2025-07-06,17,39,6
2025-07-13,20,38,6
2025-07-20,17,42,5
2025-07-27,14,38,5
2025-08-03,11,38,6
