month,imp,exp,balance_mt
2019-01,9384250,13605547,4221297
2019-02,9183596,14318013,5134417
2019-03,9316950,13815633,4498683
2019-04,8859094,13789274,4930180
2019-05,8976055,14095939,5119884
2019-06,7895227,11240268,3345041
2019-07,9221546,13728126,4506580
2019-08,8819423,15859525,7040102
2019-09,9446650,14706098,5259448
2019-10,9064678,15723521,6658843
2019-11,9627962,15100059,5472097
2019-12,9407891,15932767,6524876
2020-01,9058785,14873445,5814660
2020-02,8669973,14894680,6224707
2020-03,9134570,14849331,5714761
2020-04,10294512,14574850,4280338
2020-05,8088439,14076202,5987763
2020-06,7417239,12959574,5542335
2020-07,7953414,13902768,5949354
2020-08,8679917,14019500,5339583
2020-09,8083555,12264168,4180613
2020-10,8968807,14083896,5115089
2020-11,8703858,12924861,4221003
2020-12,10018467,14991546,4973079
2021-01,9180515,14738856,5558341
2021-02,8391761,11795750,3403989
2021-03,9145186,13806774,4661588
2021-04,10277177,13762805,3485628
2021-05,9204919,13358947,4154028
2021-06,8755244,14365069,5609825
2021-07,9316393,13824268,4507875
2021-08,9403255,15244461,5841206
2021-09,8358263,13876704,5518441
2021-10,9193213,13213810,4020597
2021-11,10015155,16615671,6600516
2021-12,11139498,16969077,5829579
2022-01,12151573,13220529,1068956
2022-02,9613748,15244829,5631081
2022-03,11542661,17196282,5653621
2022-04,11187580,15791826,4604246
2022-05,10547067,14256765,3709698
2022-06,10630890,15733540,5102650
2022-07,11717214,18788247,7071033
2022-08,12243035,19840502,7597467
2022-09,10102046,20236357,10134311
2022-10,12142985,18380318,6237333
2022-11,11053640,19408514,8354874
2022-12,11856391,17086938,5230547
2023-01,11994081,15820779,3826698
2023-02,10695710,16067516,5371806
2023-03,12100585,17816905,5716320
2023-04,11538804,16151749,4612945
2023-05,10291901,16930584,6638683
2023-06,11098709,17241029,6142320
2023-07,11818328,18127019,6308691
2023-08,11152435,17864245,6711810
2023-09,10247654,17644327,7396673
2023-10,11282895,19981452,8698557
2023-11,10758014,19114689,8356675
2023-12,11878912,18974553,7095641
2024-01,11422649,17451002,6028353
2024-02,10798439,15902399,5103960
2024-03,12362558,19047060,6684502
2024-04,10760208,17090035,6329827
2024-05,12094765,18572114,6477349
2024-06,11193154,17163571,5970417
2024-07,12296905,16398069,4101164
2024-08,10750001,17429813,6679812
2024-09,10999278,19326760,8327482
2024-10,12023206,18702519,6679313
2024-11,12754211,19323618,6569407
2024-12,13295307,17020020,3724713
2025-01,13552032,18660716,5108684
2025-02,11988586,17591403,5602817
2025-03,11505787,17493877,5988090
2025-04,12857144,16983194,4126050
2025-05,13044439,16989004,3944565
2025-06,12779463,17688898,4909435
2025-07,12946052,19280923,6334871
2025-08,13132563,22274302,9141739
2025-09,12509214,19037546,6528332
2025-10,13172482,19099262,5926780
2025-11,12385779,18762360,6376581
2025-12,11210670,19094907,7884237
2026-01,10972903,17672752,6699849
2026-02,10611022,14961214,4350192
2026-03,10360283,14728520,4368237
2026-04,11450417,17060226,5609809
2026-05,12961566,19251925,6290359
2026-06,13127367,18801025,5673658
2026-07,13561728,19008869,5447141
2026-08,10766213,17041995,6275782
