month,calls,volume_mt,calls_yoy,volume_yoy
2019-01,2890,22989797,,
2019-02,2881,23501609,,
2019-03,3036,23132583,,
2019-04,3058,22648368,,
2019-05,3108,23071994,,
2019-06,2455,19135495,,
2019-07,3088,22949672,,
2019-08,3133,24678948,,
2019-09,3146,24152748,,
2019-10,3285,24788199,,
2019-11,3236,24728021,,
2019-12,3452,25340658,,
2020-01,3314,23932230,14.671280276816612,4.099353291375296
2020-02,3230,23564653,12.113849357861861,0.2682539735896272
2020-03,3445,23983901,13.471673254281956,3.680168358198488
2020-04,3255,24869362,6.4421190320471,9.806419606039608
2020-05,2994,22164641,-3.6679536679536717,-3.932702999142601
2020-06,3088,20376813,25.784114052953157,6.486991844214107
2020-07,3162,21856182,2.396373056994827,-4.7647304066045
2020-08,3274,22699417,4.500478774337702,-8.02113201907958
2020-09,3191,20347723,1.4303877940241572,-15.754004471872108
2020-10,3230,23052703,-1.6742770167427756,-7.001299287616658
2020-11,3067,21628719,-5.222496909765139,-12.533562633257223
2020-12,3227,25010013,-6.517960602549245,-1.3048003725870116
2021-01,3235,23919371,-2.3838261919130965,-0.0537308892652244
2021-02,2989,20187511,-7.461300309597519,-14.331388626855656
2021-03,3378,22951960,-1.9448476052249641,-4.302640341952713
2021-04,3319,24039982,1.9662058371735736,-3.3349468313662367
2021-05,3093,22563866,3.3066132264529147,1.8011796356187215
2021-06,3199,23120313,3.5945595854922185,13.46383264154214
2021-07,3226,23140661,2.024035420619863,5.876959662945702
2021-08,3439,24647716,5.039706780696407,8.583035414521877
2021-09,3221,22234967,0.9401441554371726,9.274964083204784
2021-10,3164,22407023,-2.043343653250773,-2.8008862995371975
2021-11,3663,26630826,19.432670361917182,23.127153300202387
2021-12,3974,28108575,23.148435079020757,12.389285843234067
2022-01,3651,25372102,12.859350850077277,6.073449841135026
2022-02,3373,24858577,12.847106055536962,23.138394822422637
2022-03,3806,28738943,12.670219064535226,25.21345889414237
2022-04,3694,26979406,11.298583910816507,12.22723045300118
2022-05,3259,24803832,5.366957646298087,9.927226123395695
2022-06,3592,26364430,12.28508909034074,14.031457965123572
2022-07,3864,30505461,19.776813391196523,31.82623002860636
2022-08,3996,32083537,16.19656876999127,30.16839775336586
2022-09,4024,30338403,24.930145917416958,36.444560497886044
2022-10,4218,30523303,33.31226295828065,36.22203627853642
2022-11,3976,30462154,8.544908544908548,14.386816240697907
2022-12,4057,28943329,2.088575742325105,2.9697485553785707
2023-01,4007,27814860,9.75075321829635,9.627732065715321
2023-02,3689,26763226,9.368514675363171,7.661938975831162
2023-03,4164,29917490,9.406200735680503,4.100871072398182
2023-04,3563,27690553,-3.5462912831618842,2.6358882771547965
2023-05,3930,27222485,20.589137772322808,9.751126358217554
2023-06,3995,28339738,11.219376391982184,7.49232204147785
2023-07,4189,29945347,8.41097308488612,-1.836110590166129
2023-08,4235,29016680,5.980980980980988,-9.558974124330499
2023-09,4120,27891981,2.385685884691857,-8.063779757952327
2023-10,4296,31264347,1.849217638691325,2.427797542094323
2023-11,4147,29872703,4.3008048289738365,-1.9350273129076778
2023-12,4133,30853465,1.8733053980773962,6.5995725647177705
2024-01,4108,28873651,2.5205889693037165,3.8065659866704404
2024-02,3755,26700838,1.7891027378693414,-0.23311091121824834
2024-03,4203,31409618,0.9365994236311348,4.98747722486077
2024-04,3583,27850243,0.5613247263541954,0.5766948749633238
2024-05,4196,30666879,6.768447837150138,12.652753780560456
2024-06,4014,28356725,0.47559449311640467,0.059940568257910165
2024-07,4115,28694974,-1.766531391740267,-4.175516817353964
2024-08,3939,28179814,-6.989374262101533,-2.8840859808909936
2024-09,3885,30326038,-5.703883495145634,8.726726868199153
2024-10,4168,30725725,-2.9795158286778367,-1.7227994558786097
2024-11,4135,32077829,-0.28936580660718914,7.381742455645868
2024-12,4153,30315327,0.48390999274134927,-1.7441736284725229
2025-01,4010,32212748,-2.385589094449858,11.56451257237958
2025-02,3767,29579989,0.3195739014647092,10.782998645960106
2025-03,3951,28999664,-5.995717344753748,-7.672662558328469
2025-04,3705,29840338,3.404967903991074,7.145700667674615
2025-05,4090,30033443,-2.5262154432793116,-2.0655378723084317
2025-06,3999,30468361,-0.37369207772794955,7.446685045610879
2025-07,4230,32226975,2.79465370595382,12.308779230815814
2025-08,4252,35406865,7.946179233307937,25.64619837448181
2025-09,4073,31546760,4.839124839124831,4.025326354863767
2025-10,4165,32271744,-0.07197696737044623,5.031676225703374
2025-11,3973,31148139,-3.917775090689235,-2.8982322962068263
2025-12,3941,30305577,-5.104743558873103,-0.03216194897056601
2026-01,3775,28645655,-5.86034912718204,-11.073544548263936
2026-02,3388,25572236,-10.0610565436687,-13.548865755156303
2026-03,3482,25088803,-11.870412553783849,-13.48588383644721
2026-04,3629,28510643,-2.051282051282055,-4.456031965857754
2026-05,4032,32213491,-1.418092909535451,7.258734870990313
2026-06,3994,31928392,-0.12503125781445634,4.791957795169877
2026-07,4197,32570597,-0.7801418439716268,1.0662558307132475
2026-08,3732,27808208,-12.229539040451554,-21.460970916233336
