m,2019,2020,2021,2022,2023,2024,2025,2026
01,2890.0,3314.0,3235.0,3651.0,4007.0,4108.0,4010.0,3775.0
02,2881.0,3230.0,2989.0,3373.0,3689.0,3755.0,3767.0,3388.0
03,3036.0,3445.0,3378.0,3806.0,4164.0,4203.0,3951.0,3482.0
04,3058.0,3255.0,3319.0,3694.0,3563.0,3583.0,3705.0,3629.0
05,3108.0,2994.0,3093.0,3259.0,3930.0,4196.0,4090.0,4032.0
06,2455.0,3088.0,3199.0,3592.0,3995.0,4014.0,3999.0,3994.0
07,3088.0,3162.0,3226.0,3864.0,4189.0,4115.0,4230.0,4197.0
08,3133.0,3274.0,3439.0,3996.0,4235.0,3939.0,4252.0,3732.0
09,3146.0,3191.0,3221.0,4024.0,4120.0,3885.0,4073.0,
10,3285.0,3230.0,3164.0,4218.0,4296.0,4168.0,4165.0,
11,3236.0,3067.0,3663.0,3976.0,4147.0,4135.0,3973.0,
12,3452.0,3227.0,3974.0,4057.0,4133.0,4153.0,3941.0,
