date,portname,portcalls
2022-10-10 00:00:00+00:00,Tanjung Priok,43
2022-09-06 00:00:00+00:00,Tanjung Priok,43
2025-06-11 00:00:00+00:00,Tanjung Priok,42
2024-10-23 00:00:00+00:00,Tanjung Priok,42
2023-06-27 00:00:00+00:00,Tanjung Priok,42
2023-03-13 00:00:00+00:00,Tanjung Priok,42
2026-03-09 00:00:00+00:00,Tanjung Priok,40
2026-02-26 00:00:00+00:00,Tanjung Priok,40
2025-02-24 00:00:00+00:00,Tanjung Priok,40
2024-03-20 00:00:00+00:00,Tanjung Priok,40
2024-02-15 00:00:00+00:00,Tanjung Priok,40
2023-08-09 00:00:00+00:00,Tanjung Priok,40
2022-12-19 00:00:00+00:00,Tanjung Priok,40
2022-10-17 00:00:00+00:00,Tanjung Priok,40
2022-03-10 00:00:00+00:00,Tanjung Priok,40
2021-06-02 00:00:00+00:00,Tanjung Priok,40
2025-09-08 00:00:00+00:00,Tanjung Priok,39
2025-05-03 00:00:00+00:00,Tanjung Priok,39
2024-09-19 00:00:00+00:00,Tanjung Priok,39
2023-12-14 00:00:00+00:00,Tanjung Priok,39
