port,month,calls,mom,calls_yoy
Amurang,2020-11-01,4,inf,33.33333333333333
Futong,2020-11-01,4,inf,-71.42857142857143
Indonesia - Offshore Oil Terminal 1,2021-04-01,4,inf,inf
Indonesia - Offshore Oil Terminal 1,2021-06-01,2,inf,inf
Indonesia - Offshore Oil Terminal 1,2021-10-01,4,inf,inf
Indonesia - Offshore Oil Terminal 1,2022-03-01,2,inf,inf
Indonesia - Offshore Oil Terminal 1,2022-06-01,2,inf,0.0
Indonesia - Offshore Oil Terminal 1,2024-07-01,2,inf,-66.66666666666667
Indonesia - Offshore Oil Terminal 1,2025-02-01,2,inf,0.0
Indonesia - Offshore Oil Terminal 1,2025-05-01,2,inf,inf
Indonesia - Offshore Oil Terminal 1,2025-09-01,10,inf,400.0
Indonesia - Offshore Oil Terminal 1,2026-01-01,2,inf,inf
Indonesia - Offshore Oil Terminal 1,2026-07-01,2,inf,0.0
Indonesia - Offshore Oil Terminal 10,2019-03-01,4,inf,
Indonesia - Offshore Oil Terminal 10,2019-09-01,2,inf,
Indonesia - Offshore Oil Terminal 10,2019-12-01,2,inf,
Indonesia - Offshore Oil Terminal 10,2020-04-01,2,inf,0.0
Indonesia - Offshore Oil Terminal 10,2020-07-01,2,inf,inf
Indonesia - Offshore Oil Terminal 10,2020-10-01,2,inf,inf
Indonesia - Offshore Oil Terminal 10,2021-02-01,4,inf,inf
